Date,#2053,#2613,#7749,#1835,#6287
12/6/2021,921,1665,2768,2339,2172
12/7/2021,951,1713,2768,2420,2267
12/8/2021,951,1700,2770,2422,2247
12/9/2021,942,1702,2777,2422,2210
12/10/2021,936,1707,2791,2435,2198
12/13/2021,933,1680,2785,2464,2187
12/14/2021,938,1658,2770,2453,2216
12/15/2021,941,1660,2765,2469,2208
12/16/2021,959,1662,2728,2462,2221
12/17/2021,964,1649,2743,2471,2174
12/20/2021,940,1630,2760,2432,2098
12/21/2021,946,1635,2778,2450,2160
12/22/2021,952,1638,2800,2448,2152
12/23/2021,955,1635,2809,2482,2175
12/24/2021,964,1639,2841,2464,2166
12/27/2021,958,1635,2803,2477,2150
12/28/2021,970,1657,2825,2502,2182
12/29/2021,984,1684,2835,2527,2196
12/30/2021,985,1670,2852,2507,2201
1/4/2022,1002,1692,2886,2503,2204
1/5/2022,1014,1714,2878,2517,2213
1/6/2022,1000,1701,2733,2473,2150
1/7/2022,993,1687,2805,2476,2126
1/11/2022,1009,1696,2826,2477,2139
1/12/2022,1015,1719,2832,2484,2173
1/13/2022,1003,1700,2794,2432,2147
1/14/2022,1013,1718,2773,2430,2105
1/17/2022,1001,1701,2751,2456,2094
1/18/2022,983,1698,2702,2435,2082
1/19/2022,985,1685,2610,2390,2022
1/20/2022,985,1688,2653,2406,2065
1/21/2022,995,1717,2613,2454,2053
1/24/2022,1006,1730,2565,2467,2055
1/25/2022,1008,1732,2551,2470,2028
1/26/2022,995,1722,2520,2451,2011
1/27/2022,981,1664,2479,2402,1952
1/28/2022,1009,1700,2501,2458,1994
1/31/2022,1017,1694,2529,2445,2013
2/1/2022,1012,1680,2504,2419,2027
2/2/2022,1015,1700,2565,2447,2036
2/3/2022,1023,1706,2509,2453,2012
2/4/2022,1025,1689,2508,2444,2011
2/7/2022,1017,1692,2523,2441,2027
2/8/2022,1039,1708,2522,2488,2063
2/9/2022,1047,1712,2487,2477,2115
2/10/2022,1047,1709,2479,2481,2075
2/14/2022,1050,1714,2449,2470,2075
2/15/2022,1068,1701,2442,2466,2084
2/16/2022,1071,1724,2422,2534,2070
2/17/2022,1060,1732,2449,2562,2013
2/18/2022,1062,1743,2434,2534,1999
2/21/2022,1042,1742,2450,2526,2001
2/22/2022,1024,1734,2434,2526,2002
2/24/2022,1037,1742,2434,2525,2002
2/25/2022,1017,1719,2447,2488,2018
2/28/2022,1052,1735,2451,2509,2031
